corpus,file_path,respect_boundaries,stream_len,n_segments,n_windows,W,step,top_n,max_lag,short_lag_to,block,perm,seed,lag,mean_overlap_obs,mean_overlap_null_mean,mean_overlap_null_sd,z_lag_overlap,n_pairs
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,3,2.1334792122538295,2.0919792122538294,0.025037552512387505,1.6575102530276342,914
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,4,1.9912376779846659,1.9564424972617744,0.028535331380925844,1.219371881770048,913
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,5,1.8859649122807018,1.836530701754386,0.03072678616145259,1.6088311438289042,912
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,6,1.7639956092206366,1.730119648737651,0.03284301641185596,1.0314509501251794,911
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,7,1.7395604395604396,1.7257703296703297,0.032610704304897216,0.4228706550210564,910
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,8,1.7381738173817383,1.7235478547854786,0.03316035193634137,0.4410677734765141,909
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,9,1.7323788546255507,1.7223094713656388,0.033519940574892236,0.3003997944869353,908
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,10,1.7331863285556781,1.7219900771775083,0.03339404267438734,0.3352769081401801,907
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,11,1.7461368653421634,1.7223719646799116,0.03346007946677209,0.7102463903545654,906
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,12,1.754696132596685,1.72266408839779,0.0336974706030738,0.9505771093683562,905
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,13,1.7765486725663717,1.7230309734513274,0.033264059736277184,1.6088745492685277,904
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,14,1.778516057585825,1.724233665559247,0.03275070390439251,1.6574419952939605,903
